Description,At Current Prices( Revised Estimates)2011-12   , At Current Prices(Quick Estimates)2012-13,At Current Prices(Advance Estimates )2013-14 ,At Current Prices (Advance Estimates Provisional )2014-15,At Constant (2004-05) Prices  2011-12 ( Revised Estimates),At Constant (2004-05) Prices 2012-13 (Quick Estimates),At Constant (2004-05) Prices 2013-14 (Advance Estimates),At Constant (2004-05) Prices 2014-15 (Advance Estimates Provisional )
Cereals,1449592,1010727,1817057,1875682,682024,370870,656887,639316
Pulses,126604,82495,154440,174769,55444,31107,54005,53552
Oil Seeds,798607,702389,750453,959595,389526,304051,301049,343377
Sugar,862752,866484,899523,951241,362640,319194,320431,303146
Fibres,61171,50964,87757,88674,29130,19493,33823,30294
Dyes and Tannings,0,0,0,0,0,0,0,0
Drugs & Narcotics,123770,165610,205696,210828,67627,69507,71732,70101
Condiments & Spices,367888,186731,189547,191104,96275,55819,50184,45869
Fruits and Vegetables,1566401,1618565,1761471,1955653,655428,637804,585253,591423
Others,98283,89144,96372,73571,44702,38839,38900,31900
Floriculture,481190,604761,756967,848571,132250,139227,140346,177672
Kitchen Garden,26320,25716,30913,31203,10297,9385,9385,9735
Bye - Products,118058,115881,150359,149770,89733,76545,97264,97477
TOTAL,6080635,5519465,6900556,7510662,2615076,2071841,2359259,2393863
